cluster_id,event_id,n_pixel_triggered,n_tile_triggered,n_pixel_time_samples,n_tile_time_samples,pixel_charge,tile_charge,charge_ratio_pixel_over_tile,pixel_centroid_x,pixel_centroid_y,tile_centroid_x,tile_centroid_y,pixel_width_x,pixel_width_y,tile_width_x,tile_width_y,pixel_span_x,pixel_span_y,tile_span_x,tile_span_y,pixel_time_mean,pixel_time_width_moment,pixel_time_gauss_mean,pixel_time_gauss_sigma,pixel_time_gauss_amp,pixel_time_gauss_baseline,pixel_time_gauss_success,tile_time_mean,tile_time_width_moment,tile_time_gauss_mean,tile_time_gauss_sigma,tile_time_gauss_amp,tile_time_gauss_baseline,tile_time_gauss_success,pixel_time_min,pixel_time_max,tile_time_min,tile_time_max,dominant_segment_id,drift_length,matched_tile_global_rows
37,0,4,1,19,10,6219.427505493164,8177.737846374512,0.7605315335769124,-954.8929743205706,-386.12087179776154,-955.0,-385.0,0.22593252077263462,0.21883785894103305,0.0,0.0,0.5,0.5,0.0,0.0,-1980.6895789077403,1.5148185230787368,-1980.67559880781,1.3734287562041645,1362.9559832356892,225.01139965477944,True,-1980.8014369599966,1.8922563057189892,-1980.806572971412,2.3513582245849265,1796.2476523932771,-206.57416872601303,True,-1983.44580078125,-1977.44580078125,-1985.44580078125,-1976.44580078125,8349,-16.816325670365575,320
38,0,2,1,6,7,12848.881896972656,13342.596393585205,0.9629971197472544,-957.75,-579.6856660335131,-955.0,-575.0,0.0,0.16741602073726145,0.0,0.0,0.0,0.5,0.0,0.0,-1957.5393231259873,0.5673548741929761,-1957.5345975723185,0.545751467991748,9361.109602615083,26.088871167232217,True,-1957.5808903888876,0.6959214621159076,-1957.548697170687,0.5690817193120721,9045.198471862652,67.7589326580837,True,-1958.94580078125,-1955.94580078125,-1960.94580078125,-1954.94580078125,5745,-27.52352852251301,287
39,0,2,1,8,7,5405.893890380859,5911.745834350586,0.9144327313548494,-789.0514425551684,-428.25,-785.0,-425.0,0.24465008382944708,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-1945.0591856913188,0.944979223334053,-1945.2021660309163,0.6489761728079817,1483.774183671056,749.0202238520902,True,-1945.217860164289,1.0582114476280584,-1945.238739575546,1.029104469165165,2256.9739661104168,13.258591460375808,True,-1946.44580078125,-1943.44580078125,-1948.44580078125,-1942.44580078125,8865,493.91642436523216,980
40,0,3,1,12,9,4394.515335083008,4438.734204292297,0.9900379551525006,-907.864771431273,-482.65501347892035,-905.0,-485.0,0.2102694323957411,0.19613980053271357,0.0,0.0,0.5,0.5,0.0,0.0,-1919.610814417046,1.1227138964855496,-1919.607976289424,99.40205100838412,4418825.723874057,-4417493.765191138,True,-1919.800677591177,1.3266186143816918,-1919.7668956116675,1.564311201931139,1309.021611516134,-74.75819698037148,True,-1921.44580078125,-1917.44580078125,-1923.44580078125,-1915.44580078125,9083,640.6473693847656,513
41,0,2,1,7,5,14866.005294799805,14895.226644515991,0.9980382071106689,-922.75,-378.6983661427512,-925.0,-375.0,0.0,0.15215411072332874,0.0,0.0,0.0,0.5,0.0,0.0,-1838.5376139770171,0.6568055421393073,-1838.5392859816452,0.6483353783565606,9018.984782693144,56.80913010918735,True,-1838.5567615246996,0.654661464916583,-1838.5450820001781,0.6553869438834256,9103.588164297058,-10.338750317276359,True,-1839.94580078125,-1836.94580078125,-1840.94580078125,-1836.94580078125,7272,-23.403622259044415,442
42,0,3,1,9,9,2469.310012817383,4822.566467285156,0.5120323440990271,-1028.7837552607557,-563.4421016254095,-1025.0,-565.0,0.12545203365882412,0.24320316243785242,0.0,0.0,0.5,0.5,0.0,0.0,-1797.9326230199083,1.1197507486454001,-1797.9334376932868,92.98021666730571,2275300.0196397146,-2274542.980570661,True,-1798.1545768664905,1.9104418088736057,-1798.183645421801,2.502792082600462,1072.7690194918384,-158.42805478347893,True,-1799.94580078125,-1795.94580078125,-1801.94580078125,-1793.94580078125,8796,464.2090606689453,66
43,0,5,1,16,10,5260.538833618164,6868.201976776123,0.7659266357346435,-956.3954253123351,-319.2920230721572,-955.0,-315.0,0.22707737601923794,0.18372072587264862,0.0,0.0,0.5,1.0,0.0,0.0,-1790.0966415676778,1.5271287401175921,-1790.079228054553,3.321157143043724,2820.0395227350864,-1627.9721933106862,True,-1790.5014226990581,1.8078588049481956,-1790.5272095054543,2.265607645042044,1583.7892471171838,-189.07212314319088,True,-1792.94580078125,-1786.94580078125,-1794.94580078125,-1785.94580078125,8491,397.62033994819257,331
44,0,6,1,19,11,7304.925979614258,10690.586288452148,0.6833045244211683,-952.324964694136,-301.7951605357745,-955.0,-305.0,0.2183281160272082,0.21292240049971017,0.0,0.0,1.0,1.0,0.0,0.0,-1788.7720729302987,1.548281026743686,-1788.7984306685255,1.1876889949844576,1521.3223661221186,398.23153995209634,True,-1788.769404356083,2.0568332377691014,-1788.6760266923989,1.6964925224470833,2016.0431533896376,193.39700310570603,True,-1791.94580078125,-1785.94580078125,-1793.94580078125,-1783.94580078125,8419,-31.188064822318825,333
45,0,4,1,15,10,4944.087371826172,6358.9350509643555,0.7775024170244329,-926.6972851609571,-407.4662296960848,-925.0,-405.0,0.15355313499276277,0.24770863241614102,0.0,0.0,0.5,0.5,0.0,0.0,-1783.4075639809419,1.4153743820377827,-1783.5687687313034,0.7227980758061956,986.3324965477311,526.1950479874935,True,-1783.2980517572757,1.8794386400558551,-1783.3127120498173,2.065609645621667,1327.1880701259602,-41.17412293381819,True,-1785.94580078125,-1780.94580078125,-1787.94580078125,-1778.94580078125,9073,723.8567350123616,437
46,0,3,1,11,9,5915.861862182617,7236.662401199341,0.8174848478771338,-875.7652287921461,-425.5627877276482,-875.0,-425.0,0.08592135917691507,0.24198698571778166,0.0,0.0,0.5,0.5,0.0,0.0,-1690.003888400021,1.170255622254085,-1690.0020880691013,2.506378367611601,3988.6836042129444,-2236.9244512503733,True,-1690.0713295471978,1.3943199013824266,-1690.0237534056116,1.459319098500053,2028.6331191822387,-8.885675066438337,True,-1692.44580078125,-1687.44580078125,-1694.44580078125,-1685.44580078125,9261,389.8390950369885,645
